id,num,name,address,latitude,longitude,stands,maxstands
248,72,072_CALLE AMADOR DE LOS RIOS,CALLE AMADOR DE LOS RIOS - Aprox. C/ Lope de Vega,37.3907124885337,-5.98276817709675,20,20
249,180,180_CALLE DOCTOR JAIME MARCOS,CALLE DOCTOR JAIME MARCOS - Aprox. Avda. Doc. Fedriani,37.4096495635048,-5.98440119371439,20,20
250,20,020_CALLE SAN JUAN DE RIBERA,CALLE SAN JUAN DE RIBERA - Aprox. C/ Fray Isidoro de Sevilla,37.4048695436522,-5.98653719846193,15,15
251,52,052_CALLE DEL INCA GARCILASO,CALLE DEL INCA GARCILASO - Aprox. C/ Jerónimo de Aguilar,37.3942264924821,-6.01030927575917,40,40
252,32,032_CALLE MUÑOZ LEÓN,CALLE MUÑOZ LEÓN - Aprox. C/ Morera,37.4020195323575,-5.98632319607366,15,15
253,157,157_AVENIDA CARDENAL BUENO MONREAL,AVENIDA CARDENAL BUENO MONREAL - Aprox. Avda Ramón Carande,37.3697994054245,-5.97819472282198,20,20
254,112,112_AVDA ESPERANZA DE TRIANA,AVDA ESPERANZA DE TRIANA - Aprox. Plaza Amadeo Janone,37.3801534384526,-6.00438324685914,20,20
255,134,134_CALLE VIRGEN DE LUJÁN,CALLE VIRGEN DE LUJÁN - Aprox. C/ Asunción,37.3747704191009,-5.99853622323147,24,24
256,70,070_ESTACIÓN RENFE SANTA JUSTA,ESTACIÓN RENFE SANTA JUSTA,37.3911584928049,-5.97597115351185,40,40
257,159,159_AVENIDA CARDENAL BUENO MONREAL,AVENIDA CARDENAL BUENO MONREAL - Aprox. Avda Manuel Siurot,37.3680453972776,-5.98485417132949,20,20
258,65,065_CALLE ALHÓNDIGA,CALLE ALHÓNDIGA - Aprox. Card. Cervantes,37.3912994889083,-5.9881401962808,14,14
259,135,135_CALLE VIRGEN DE LUJÁN,CALLE VIRGEN DE LUJÁN - Aprox. Glorieta las Cigarreras,37.3746514203654,-5.9938012065447,17,17
260,162,162_AVENIDA SOLEA,AVENIDA SOLEA - Aprox. C/ Media Granaína,37.3915404970811,-5.96846612741093,18,18
